2026-05-29 11:40:13,271 | INFO     | ai_automation.test_command_injection_in_search_produces_no_os_output | START tests/api/test_pentest.py::TestInjectionPentest::test_command_injection_in_search_produces_no_os_output
2026-05-29 11:40:13,272 | INFO     | ai_automation.pentest | Step: GET search with command injection payload: 'MacBook$(whoami)'
2026-05-29 11:40:13,279 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,279 | INFO     | ai_automation.pentest | Step: Assert no uid=, root:, /bin/bash in response body
2026-05-29 11:40:13,280 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,280 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,280 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,281 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,281 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,281 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:13,282 | INFO     | ai_automation.test_command_injection_in_search_produces_no_os_output | END   tests/api/test_pentest.py::TestInjectionPentest::test_command_injection_in_search_produces_no_os_output
