2026-07-03 00:54:22,327 | INFO     | ai_automation.test_command_injection_in_search_produces_no_os_output | START tests/api/test_pentest.py::TestInjectionPentest::test_command_injection_in_search_produces_no_os_output
2026-07-03 00:54:22,328 | INFO     | ai_automation.pentest | Step: GET search with command injection payload: 'MacBook$(whoami)'
2026-07-03 00:54:22,336 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,336 | INFO     | ai_automation.pentest | Step: Assert no uid=, root:, /bin/bash in response body
2026-07-03 00:54:22,337 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,337 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,338 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,338 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,339 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,339 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:22,341 | INFO     | ai_automation.test_command_injection_in_search_produces_no_os_output | END   tests/api/test_pentest.py::TestInjectionPentest::test_command_injection_in_search_produces_no_os_output
