2026-05-29 11:40:10,503 | INFO     | ai_automation.test_cart_keeps_multiple_products_in_same_session | START tests/api/test_api_integrations.py::TestCartApiIntegration::test_cart_keeps_multiple_products_in_same_session
2026-05-29 11:40:10,508 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,508 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,509 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,509 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,510 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,510 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,512 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,512 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,513 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:10,515 | INFO     | ai_automation.test_cart_keeps_multiple_products_in_same_session | END   tests/api/test_api_integrations.py::TestCartApiIntegration::test_cart_keeps_multiple_products_in_same_session
