2026-07-03 00:54:43,162 | INFO     | ai_automation.test_login_error_does_not_reveal_email_existence | START tests/api/test_pentest.py::TestAuthenticationPentest::test_login_error_does_not_reveal_email_existence
2026-07-03 00:54:43,166 | INFO     | ai_automation.pentest | Step: POST login with fake email probe-a@pentest-nonexistent.test
2026-07-03 00:54:43,166 | INFO     | ai_automation.pentest | Step: POST login with fake email probe-b@pentest-nonexistent.test
2026-07-03 00:54:43,167 | INFO     | ai_automation.pentest | Step: Assert generic warning present and no account-enumeration phrases
2026-07-03 00:54:43,167 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:43,167 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:43,168 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:43,168 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:43,171 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:43,172 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 00:54:43,173 | INFO     | ai_automation.test_login_error_does_not_reveal_email_existence | END   tests/api/test_pentest.py::TestAuthenticationPentest::test_login_error_does_not_reveal_email_existence
