2026-05-29 11:44:47,125 | INFO     | ai_automation.test_cart_keeps_multiple_products_in_same_session | START tests/api/test_api_integrations.py::TestCartApiIntegration::test_cart_keeps_multiple_products_in_same_session
2026-05-29 11:44:47,127 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,127 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,128 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,128 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,128 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,129 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,130 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,130 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,131 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:44:47,133 | INFO     | ai_automation.test_cart_keeps_multiple_products_in_same_session | END   tests/api/test_api_integrations.py::TestCartApiIntegration::test_cart_keeps_multiple_products_in_same_session
