2026-07-03 13:15:11,960 | INFO     | ai_automation.test_admin_panel_does_not_expose_interface | START tests/api/test_pentest.py::TestAccessControlPentest::test_admin_panel_does_not_expose_interface
2026-07-03 13:15:11,961 | INFO     | ai_automation.pentest | Step: GET /admin/ with no credentials
2026-07-03 13:15:11,961 | INFO     | ai_automation.pentest | Step: Assert Dashboard, Sales, Catalog admin sections absent
2026-07-03 13:15:11,963 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,963 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,963 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,963 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,964 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,964 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,964 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,964 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,964 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,965 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 13:15:11,966 | INFO     | ai_automation.test_admin_panel_does_not_expose_interface | END   tests/api/test_pentest.py::TestAccessControlPentest::test_admin_panel_does_not_expose_interface
