2026-05-28 12:28:43,149 | INFO     | ai_automation.test_command_injection_in_search_produces_no_os_output | START tests/api/test_pentest.py::TestInjectionPentest::test_command_injection_in_search_produces_no_os_output
2026-05-28 12:28:43,150 | INFO     | ai_automation.pentest | Step: GET search with command injection payload: 'MacBook$(whoami)'
2026-05-28 12:28:43,157 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,157 | INFO     | ai_automation.pentest | Step: Assert no uid=, root:, /bin/bash in response body
2026-05-28 12:28:43,158 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,158 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,159 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,160 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,160 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,161 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-28 12:28:43,162 | INFO     | ai_automation.test_command_injection_in_search_produces_no_os_output | END   tests/api/test_pentest.py::TestInjectionPentest::test_command_injection_in_search_produces_no_os_output
