2026-05-28 12:28:46,450 | INFO     | ai_automation.test_faker_has_all_protocol_methods | START tests/unit/test_factories.py::TestFakerLikeProtocol::test_faker_has_all_protocol_methods
2026-05-28 12:28:46,451 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.address`.
2026-05-28 12:28:46,453 | DEBUG    | faker.factory | Provider `faker.providers.address` has been localized to `en_US`.
2026-05-28 12:28:46,453 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.automotive`.
2026-05-28 12:28:46,454 | DEBUG    | faker.factory | Provider `faker.providers.automotive` has been localized to `en_US`.
2026-05-28 12:28:46,454 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.bank`.
2026-05-28 12:28:46,455 | DEBUG    | faker.factory | Specified locale `en_US` is not available for provider `faker.providers.bank`. Locale reset to `en_GB` for this provider.
2026-05-28 12:28:46,455 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.barcode`.
2026-05-28 12:28:46,455 | DEBUG    | faker.factory | Provider `faker.providers.barcode` has been localized to `en_US`.
2026-05-28 12:28:46,455 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.color`.
2026-05-28 12:28:46,456 | DEBUG    | faker.factory | Provider `faker.providers.color` has been localized to `en_US`.
2026-05-28 12:28:46,456 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.company`.
2026-05-28 12:28:46,457 | DEBUG    | faker.factory | Provider `faker.providers.company` has been localized to `en_US`.
2026-05-28 12:28:46,457 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.credit_card`.
2026-05-28 12:28:46,458 | DEBUG    | faker.factory | Provider `faker.providers.credit_card` has been localized to `en_US`.
2026-05-28 12:28:46,458 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.currency`.
2026-05-28 12:28:46,459 | DEBUG    | faker.factory | Provider `faker.providers.currency` has been localized to `en_US`.
2026-05-28 12:28:46,459 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.date_time`.
2026-05-28 12:28:46,460 | DEBUG    | faker.factory | Provider `faker.providers.date_time` has been localized to `en_US`.
2026-05-28 12:28:46,460 | DEBUG    | faker.factory | Provider `faker.providers.emoji` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,460 | DEBUG    | faker.factory | Provider `faker.providers.file` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,460 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.geo`.
2026-05-28 12:28:46,461 | DEBUG    | faker.factory | Provider `faker.providers.geo` has been localized to `en_US`.
2026-05-28 12:28:46,461 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.internet`.
2026-05-28 12:28:46,462 | DEBUG    | faker.factory | Provider `faker.providers.internet` has been localized to `en_US`.
2026-05-28 12:28:46,462 | DEBUG    | faker.factory | Provider `faker.providers.isbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,462 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.job`.
2026-05-28 12:28:46,463 | DEBUG    | faker.factory | Provider `faker.providers.job` has been localized to `en_US`.
2026-05-28 12:28:46,463 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.lorem`.
2026-05-28 12:28:46,464 | DEBUG    | faker.factory | Provider `faker.providers.lorem` has been localized to `en_US`.
2026-05-28 12:28:46,464 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.misc`.
2026-05-28 12:28:46,465 | DEBUG    | faker.factory | Provider `faker.providers.misc` has been localized to `en_US`.
2026-05-28 12:28:46,465 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.passport`.
2026-05-28 12:28:46,465 | DEBUG    | faker.factory | Provider `faker.providers.passport` has been localized to `en_US`.
2026-05-28 12:28:46,465 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.person`.
2026-05-28 12:28:46,467 | DEBUG    | faker.factory | Provider `faker.providers.person` has been localized to `en_US`.
2026-05-28 12:28:46,467 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.phone_number`.
2026-05-28 12:28:46,468 | DEBUG    | faker.factory | Provider `faker.providers.phone_number` has been localized to `en_US`.
2026-05-28 12:28:46,469 | DEBUG    | faker.factory | Provider `faker.providers.profile` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,469 | DEBUG    | faker.factory | Provider `faker.providers.python` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,469 | DEBUG    | faker.factory | Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,469 | DEBUG    | faker.factory | Looking for locale `en_US` in provider `faker.providers.ssn`.
2026-05-28 12:28:46,470 | DEBUG    | faker.factory | Provider `faker.providers.ssn` has been localized to `en_US`.
2026-05-28 12:28:46,471 | DEBUG    | faker.factory | Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
2026-05-28 12:28:46,471 | INFO     | ai_automation.test_faker_has_all_protocol_methods | END   tests/unit/test_factories.py::TestFakerLikeProtocol::test_faker_has_all_protocol_methods
