2026-05-29 11:40:12,965 | INFO     | ai_automation.test_login_error_does_not_reveal_email_existence | START tests/api/test_pentest.py::TestAuthenticationPentest::test_login_error_does_not_reveal_email_existence
2026-05-29 11:40:12,965 | INFO     | ai_automation.pentest | Step: POST login with fake email probe-a@pentest-nonexistent.test
2026-05-29 11:40:12,966 | INFO     | ai_automation.pentest | Step: POST login with fake email probe-b@pentest-nonexistent.test
2026-05-29 11:40:12,966 | INFO     | ai_automation.pentest | Step: Assert generic warning present and no account-enumeration phrases
2026-05-29 11:40:12,966 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:12,966 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:12,966 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:12,967 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:12,967 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:12,967 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-05-29 11:40:12,968 | INFO     | ai_automation.test_login_error_does_not_reveal_email_existence | END   tests/api/test_pentest.py::TestAuthenticationPentest::test_login_error_does_not_reveal_email_existence
