2026-07-03 14:12:52,367 | INFO     | ai_automation.test_login_error_does_not_reveal_email_existence | START tests/api/test_pentest.py::TestAuthenticationPentest::test_login_error_does_not_reveal_email_existence
2026-07-03 14:12:52,368 | INFO     | ai_automation.pentest | Step: POST login with fake email probe-a@pentest-nonexistent.test
2026-07-03 14:12:52,368 | INFO     | ai_automation.pentest | Step: POST login with fake email probe-b@pentest-nonexistent.test
2026-07-03 14:12:52,368 | INFO     | ai_automation.pentest | Step: Assert generic warning present and no account-enumeration phrases
2026-07-03 14:12:52,369 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 14:12:52,370 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 14:12:52,370 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 14:12:52,370 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 14:12:52,370 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 14:12:52,370 | DEBUG    | charset_normalizer | Encoding detection: ascii is most likely the one.
2026-07-03 14:12:52,371 | INFO     | ai_automation.test_login_error_does_not_reveal_email_existence | END   tests/api/test_pentest.py::TestAuthenticationPentest::test_login_error_does_not_reveal_email_existence
